ssn,age,education,marital-status,relationship,sex,income
784-30-5896,,Assoc-voc,Married-civ-spouse,,Male,<=50K
772-85-0122,69.0,,Widowed,,,>50K
661-94-7173,21.0,Some-college,,Own-child,,<=50K
091-21-6216,51.0,Masters,Married-civ-spouse,Husband,Male,
668-64-2505,38.0,Bachelors,Never-married,,Male,
842-59-8279,41.0,Masters,,Not-in-family,Female,<=50K
334-79-7296,44.0,Assoc-acdm,Separated,Not-in-family,,
168-85-7493,29.0,Masters,Never-married,,Male,
257-67-8132,39.0,HS-grad,Divorced,,Male,<=50K
965-81-6952,38.0,Bachelors,Married-civ-spouse,Husband,,
468-08-9680,49.0,,,Husband,,
246-59-0908,46.0,Some-college,Married-civ-spouse,Husband,Male,
769-80-9581,38.0,,,Husband,Female,<=50K
783-13-8819,21.0,HS-grad,Never-married,Own-child,Female,
225-42-9975,60.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
954-60-6878,20.0,,Never-married,Own-child,Male,
660-59-5822,23.0,HS-grad,Never-married,Not-in-family,,<=50K
754-42-2603,19.0,HS-grad,Never-married,Own-child,,<=50K
416-86-1178,20.0,Some-college,Never-married,Own-child,Female,
228-13-2677,58.0,HS-grad,Married-civ-spouse,,Male,<=50K
668-94-9630,67.0,HS-grad,Widowed,Not-in-family,,
939-89-5576,29.0,Some-college,Married-civ-spouse,Husband,Male,
975-06-1424,64.0,HS-grad,,Husband,Male,<=50K
311-14-8648,41.0,Some-college,Married-civ-spouse,Wife,,>50K
405-06-7567,52.0,7th-8th,Married-civ-spouse,Husband,,
484-06-0196,41.0,Doctorate,Married-civ-spouse,Husband,Male,
332-64-7419,21.0,Some-college,Never-married,Own-child,Male,<=50K
854-23-8328,17.0,Some-college,,Own-child,Female,<=50K
657-03-3168,43.0,,Married-civ-spouse,Husband,,
255-15-9704,31.0,Bachelors,Married-civ-spouse,Husband,,<=50K
855-77-3954,28.0,HS-grad,Never-married,Own-child,Male,<=50K
301-41-2776,32.0,,Married-civ-spouse,Husband,Male,
043-67-3218,62.0,HS-grad,Married-civ-spouse,Husband,Male,
106-60-3193,28.0,HS-grad,,Own-child,Female,
701-65-8475,35.0,Bachelors,,Husband,,<=50K
023-40-2948,29.0,,Never-married,Not-in-family,Male,<=50K
877-36-4863,27.0,HS-grad,Never-married,,,<=50K
020-05-5282,61.0,,,,,
516-27-7640,22.0,HS-grad,Never-married,Own-child,,
984-64-3733,41.0,,Married-civ-spouse,Husband,,>50K
501-32-0638,57.0,Bachelors,Never-married,,,>50K
565-57-1252,32.0,,Never-married,Not-in-family,,<=50K
745-51-5969,33.0,HS-grad,,Husband,Female,<=50K
274-93-8574,39.0,,Divorced,Unmarried,,<=50K
424-81-5724,57.0,Some-college,,,,>50K
523-67-9360,26.0,,Never-married,Not-in-family,Male,<=50K
271-65-2333,33.0,7th-8th,Divorced,Unmarried,Male,<=50K
963-85-1350,34.0,Some-college,Married-civ-spouse,Husband,,>50K
774-29-3611,20.0,,Never-married,Own-child,Female,<=50K
816-21-6215,26.0,Bachelors,Never-married,Not-in-family,,
283-56-8795,49.0,Bachelors,,Husband,,
262-71-4987,61.0,,Married-civ-spouse,Husband,Male,>50K
460-81-0810,61.0,,Married-civ-spouse,Husband,,<=50K
944-44-1030,43.0,10th,,Husband,Female,<=50K
160-10-4422,31.0,Masters,Never-married,,Female,
280-71-2530,35.0,Assoc-acdm,Never-married,Not-in-family,Male,>50K
666-95-3316,32.0,HS-grad,,Husband,Male,>50K
168-42-7518,24.0,Some-college,Never-married,Not-in-family,Female,
258-38-4520,47.0,HS-grad,Married-civ-spouse,Husband,,
207-98-5257,29.0,Some-college,Married-civ-spouse,,,<=50K
745-57-7394,24.0,Bachelors,Never-married,Own-child,,
503-62-4078,42.0,10th,,,Male,
609-30-5896,34.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
780-55-8967,29.0,HS-grad,,Wife,,>50K
413-97-4201,25.0,,Never-married,Not-in-family,Male,<=50K
730-00-6141,22.0,HS-grad,Never-married,Own-child,,>50K
109-27-5184,39.0,HS-grad,,Husband,,
719-68-6731,19.0,HS-grad,Never-married,Own-child,,<=50K
076-78-1326,28.0,HS-grad,Divorced,Not-in-family,Male,
139-74-2014,38.0,Some-college,,Not-in-family,Male,
775-46-0687,50.0,,Married-civ-spouse,Husband,,
772-54-2996,32.0,Some-college,Never-married,,Male,<=50K
200-15-3562,29.0,,Never-married,Other-relative,,<=50K
613-72-8500,23.0,,Never-married,Not-in-family,,
883-99-8770,42.0,Bachelors,Married-civ-spouse,Husband,,
117-47-5429,30.0,,Never-married,Not-in-family,Male,
745-30-0982,64.0,HS-grad,Married-civ-spouse,Husband,,>50K
504-02-3341,17.0,11th,,Own-child,,
969-41-0318,29.0,HS-grad,,Other-relative,Female,<=50K
141-03-1940,20.0,HS-grad,Never-married,Own-child,Female,
756-69-5330,51.0,Bachelors,Married-civ-spouse,,Male,
436-39-4348,39.0,,Married-civ-spouse,Wife,,
285-07-3709,,Some-college,Never-married,Own-child,Female,
786-76-2898,30.0,Masters,,Not-in-family,,<=50K
304-45-3316,50.0,,Married-civ-spouse,Husband,Female,<=50K
396-19-1645,22.0,,Never-married,Not-in-family,,<=50K
429-05-4053,40.0,,Married-civ-spouse,,Female,
364-49-6314,36.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
903-25-5527,59.0,Assoc-voc,Married-civ-spouse,Wife,,>50K
878-59-3365,45.0,Masters,,,Male,>50K
650-82-9237,17.0,11th,Never-married,Own-child,Male,
161-05-6510,44.0,HS-grad,Never-married,Not-in-family,Male,<=50K
481-81-8181,40.0,,Divorced,Not-in-family,,
670-27-0269,22.0,Some-college,Married-civ-spouse,Husband,Male,
400-98-2800,44.0,Masters,,Husband,Male,<=50K
828-68-5502,,,Divorced,Not-in-family,,<=50K
775-82-9237,55.0,Some-college,Married-civ-spouse,,Male,
784-09-0908,36.0,Some-college,Never-married,Unmarried,Female,
137-68-4275,29.0,HS-grad,Never-married,Not-in-family,,
160-01-2284,56.0,Bachelors,,,Male,
160-19-6560,49.0,,,Husband,,<=50K
384-95-0859,30.0,HS-grad,Married-civ-spouse,,,
083-10-8108,28.0,HS-grad,Married-civ-spouse,,Male,<=50K
887-16-2161,39.0,Bachelors,Married-civ-spouse,Husband,,
185-81-0810,18.0,11th,Divorced,Not-in-family,Female,
224-20-1473,22.0,Some-college,Divorced,,Female,
509-18-3046,34.0,,Married-civ-spouse,Husband,Male,
335-78-0097,41.0,,Never-married,Not-in-family,Female,<=50K
021-77-5184,34.0,Some-college,Married-civ-spouse,,,
661-73-2186,56.0,5th-6th,,,Male,>50K
673-46-4372,51.0,11th,Married-civ-spouse,Husband,Female,<=50K
004-51-4742,78.0,,,,Male,<=50K
137-96-0687,53.0,Some-college,,Husband,,>50K
803-10-1964,44.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
947-48-1571,71.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
622-72-7272,45.0,,Married-civ-spouse,Husband,Female,<=50K
595-48-5257,,10th,Widowed,Unmarried,,<=50K
709-21-3758,39.0,,Married-civ-spouse,Husband,,>50K
412-65-3562,33.0,,Married-civ-spouse,Wife,Male,<=50K
551-99-6313,33.0,Bachelors,Never-married,Not-in-family,Male,
926-84-2750,27.0,,Never-married,,Male,<=50K
396-40-6633,43.0,,,Not-in-family,Female,
037-71-4987,,Assoc-acdm,Married-civ-spouse,,Male,>50K
905-12-8991,62.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
351-32-0638,42.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
342-50-6142,47.0,HS-grad,Married-civ-spouse,Husband,Female,<=50K
886-05-6510,44.0,HS-grad,Divorced,,,
505-15-9704,33.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
739-28-1326,43.0,Masters,,Husband,Male,
638-82-0638,47.0,Masters,Married-civ-spouse,Husband,Male,<=50K
344-41-0319,33.0,,Married-civ-spouse,Husband,Male,>50K
973-37-2234,23.0,HS-grad,,Not-in-family,Female,
830-40-5404,23.0,HS-grad,Never-married,,,<=50K
593-15-1105,30.0,Doctorate,Never-married,Not-in-family,,<=50K
736-54-7910,,HS-grad,Widowed,Unmarried,,<=50K
978-80-8352,36.0,Some-college,Married-civ-spouse,Husband,Male,
785-99-5085,,7th-8th,Married-civ-spouse,,,
416-52-3341,61.0,,Married-civ-spouse,Husband,Male,
284-67-4446,22.0,HS-grad,Married-civ-spouse,Own-child,,
141-64-6191,35.0,Some-college,Married-civ-spouse,,,
553-56-2653,47.0,10th,Married-civ-spouse,Husband,Male,<=50K
086-45-5773,40.0,Bachelors,Married-civ-spouse,Husband,,<=50K
917-29-1153,33.0,HS-grad,,Own-child,Female,<=50K
887-31-5723,35.0,,Married-civ-spouse,,,
337-13-1449,24.0,,Married-spouse-absent,Not-in-family,Male,
842-47-5429,54.0,,,Husband,Male,<=50K
232-12-5306,30.0,HS-grad,,Husband,,<=50K
889-00-4913,22.0,,Separated,Unmarried,Female,<=50K
620-82-3095,34.0,,Married-civ-spouse,Husband,,
165-32-5552,20.0,11th,Never-married,Other-relative,,<=50K
207-43-2432,64.0,10th,Married-civ-spouse,,Male,>50K
198-18-7960,38.0,Bachelors,Married-civ-spouse,,,<=50K
908-69-1645,27.0,,Married-civ-spouse,Husband,Male,
351-25-9213,31.0,HS-grad,Separated,Unmarried,,
760-84-1522,,Assoc-acdm,Never-married,,,>50K
022-57-3710,43.0,Assoc-voc,,Unmarried,Female,<=50K
538-14-4962,43.0,,,Unmarried,Male,<=50K
428-53-1940,49.0,Some-college,Divorced,Unmarried,,
723-49-5085,41.0,Masters,Never-married,Other-relative,Male,
748-06-5109,39.0,,Never-married,Not-in-family,Male,
153-96-1916,36.0,HS-grad,,Unmarried,Male,
125-76-7813,51.0,,Divorced,Not-in-family,Male,<=50K
173-86-3636,,Some-college,Never-married,,Female,<=50K
714-58-8451,44.0,Some-college,Married-civ-spouse,Husband,Male,>50K
299-44-7174,49.0,Some-college,Divorced,Not-in-family,,<=50K
616-18-5503,22.0,Some-college,Never-married,,Female,
929-11-5478,60.0,11th,Widowed,Unmarried,Male,<=50K
046-06-8796,60.0,HS-grad,Widowed,Unmarried,Male,
871-62-1620,50.0,,Divorced,Not-in-family,,
623-74-0785,34.0,11th,Married-civ-spouse,Husband,,
431-41-8918,42.0,,Divorced,,,
768-42-7517,32.0,,Married-civ-spouse,Husband,,<=50K
162-83-7837,37.0,Bachelors,Married-civ-spouse,,,
499-20-1473,,,Married-civ-spouse,Wife,,<=50K
781-60-3193,45.0,,Married-civ-spouse,Husband,Male,<=50K
184-88-9434,57.0,,Married-civ-spouse,Husband,,<=50K
597-69-6559,63.0,Some-college,,Not-in-family,,<=50K
395-94-5945,38.0,Doctorate,Married-civ-spouse,Husband,Male,<=50K
184-06-0196,23.0,Some-college,,Own-child,Male,
743-55-0367,30.0,Bachelors,Married-civ-spouse,Own-child,Male,
223-52-5798,55.0,Some-college,Widowed,Unmarried,Female,<=50K
026-87-3464,40.0,HS-grad,Divorced,,Female,<=50K
238-66-7075,25.0,Bachelors,Married-civ-spouse,,,<=50K
733-69-1645,43.0,Assoc-acdm,Divorced,Unmarried,,<=50K
629-05-4053,,HS-grad,,Husband,Female,<=50K
542-75-1842,21.0,,,Not-in-family,,<=50K
454-11-5478,26.0,Some-college,Divorced,,,
449-75-4299,,10th,,Husband,Female,<=50K
697-57-3709,64.0,HS-grad,Widowed,Unmarried,Female,<=50K
702-39-5576,28.0,Bachelors,Married-civ-spouse,Husband,,
718-42-7517,53.0,HS-grad,,Not-in-family,Male,
308-01-5970,62.0,HS-grad,Married-civ-spouse,Husband,,>50K
684-52-0883,62.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
762-86-8549,41.0,Assoc-voc,Divorced,Unmarried,Female,
080-80-4668,29.0,HS-grad,Never-married,Not-in-family,Female,
238-42-1375,50.0,10th,Divorced,,Male,>50K
181-29-6068,20.0,10th,Never-married,Other-relative,Male,<=50K
619-31-8181,37.0,Bachelors,Never-married,Not-in-family,,>50K
346-52-9483,41.0,HS-grad,,,Female,
758-01-5969,34.0,Masters,Married-civ-spouse,Wife,,
087-43-8574,32.0,11th,Separated,,Male,>50K
704-91-4004,24.0,Bachelors,Never-married,Own-child,,<=50K
286-51-7198,41.0,Bachelors,Never-married,,Male,>50K
212-62-2849,30.0,Bachelors,Never-married,Not-in-family,Female,<=50K
647-69-6559,,,Divorced,Unmarried,Female,<=50K
579-02-3340,34.0,Bachelors,Never-married,Other-relative,Female,<=50K
739-21-9900,48.0,HS-grad,Married-civ-spouse,,,<=50K
295-17-8132,31.0,Bachelors,,Husband,Male,>50K
947-94-2259,54.0,Some-college,Married-civ-spouse,Wife,Male,<=50K
382-95-4545,26.0,,Never-married,Other-relative,Male,
944-22-6043,29.0,1st-4th,Married-civ-spouse,Husband,,<=50K
099-41-6461,29.0,Masters,,,,>50K
430-77-3955,52.0,HS-grad,Married-civ-spouse,Husband,Male,
564-61-9164,37.0,Bachelors,Divorced,Unmarried,,<=50K
619-19-5331,33.0,Bachelors,Separated,Not-in-family,Male,
752-67-1989,34.0,HS-grad,Married-civ-spouse,Husband,,>50K
544-77-8869,32.0,Bachelors,Never-married,Unmarried,,
543-12-0392,35.0,Some-college,Divorced,Not-in-family,Female,<=50K
721-19-1645,,Some-college,,,,<=50K
412-31-5724,27.0,,,,Male,<=50K
116-43-1203,32.0,HS-grad,Never-married,Not-in-family,,<=50K
232-61-6707,52.0,,Divorced,Unmarried,Female,<=50K
759-76-6584,65.0,,Married-civ-spouse,,,<=50K
674-10-9335,37.0,Bachelors,,Not-in-family,Male,<=50K
411-51-7198,34.0,,Never-married,Own-child,Male,<=50K
614-25-0613,29.0,HS-grad,Married-civ-spouse,,,
097-26-6584,33.0,,Married-civ-spouse,Husband,Male,
229-60-6879,34.0,Assoc-voc,,,,<=50K
925-92-1374,46.0,,Never-married,Own-child,,
796-65-2333,46.0,HS-grad,Divorced,,Female,
497-26-6584,22.0,Assoc-acdm,Never-married,,,<=50K
423-64-8648,31.0,Some-college,Married-civ-spouse,Husband,,>50K
501-99-6313,47.0,,Divorced,,,
511-73-2186,35.0,HS-grad,Married-civ-spouse,,Male,
513-60-5650,,,Never-married,Not-in-family,Female,<=50K
816-86-1178,,HS-grad,Divorced,Not-in-family,Male,<=50K
294-53-3169,21.0,Some-college,Never-married,,,
910-07-3709,31.0,Masters,Never-married,,,
770-08-5994,34.0,Some-college,,Husband,,
354-23-8328,41.0,,Married-civ-spouse,Husband,,<=50K
528-22-4815,,HS-grad,Never-married,Own-child,,<=50K
118-70-3931,44.0,,Separated,,,
910-84-1522,20.0,Some-college,,Own-child,Female,
752-54-9139,49.0,5th-6th,Married-civ-spouse,,Male,
573-89-4348,19.0,HS-grad,Never-married,Own-child,,<=50K
119-62-5307,36.0,Some-college,Never-married,Not-in-family,Female,
392-75-1842,41.0,Some-college,Divorced,Unmarried,,
078-90-0491,34.0,Masters,,Not-in-family,,
554-36-1178,53.0,Bachelors,Married-civ-spouse,,Male,
007-61-6707,31.0,Some-college,Never-married,,,<=50K
139-64-9877,43.0,Bachelors,Married-spouse-absent,Unmarried,Male,
274-23-2186,21.0,,Never-married,Own-child,Male,<=50K
845-36-2407,46.0,Bachelors,Never-married,,Male,
862-89-9262,,,Married-civ-spouse,Wife,Male,<=50K
757-61-6706,,,Never-married,Unmarried,Female,<=50K
596-46-8058,45.0,Bachelors,,Unmarried,Male,
225-18-4274,44.0,HS-grad,Married-civ-spouse,Husband,Male,
446-00-7370,49.0,HS-grad,Separated,Unmarried,,
770-79-2382,70.0,HS-grad,Never-married,,,
340-66-3390,39.0,Assoc-acdm,,Not-in-family,Male,
798-61-7935,41.0,12th,Married-civ-spouse,Husband,Male,
533-53-8083,50.0,Some-college,Married-civ-spouse,,,<=50K
215-93-9803,31.0,Some-college,Married-civ-spouse,Husband,,
792-78-2554,60.0,,Married-civ-spouse,Husband,Male,
418-18-1817,34.0,Some-college,Separated,,,
522-23-5871,17.0,11th,Never-married,Own-child,Male,<=50K
460-19-6559,48.0,Some-college,Never-married,,,<=50K
169-68-6732,59.0,Masters,Married-civ-spouse,Husband,,<=50K
199-63-1449,47.0,HS-grad,,Husband,Male,
066-15-4791,49.0,HS-grad,,,,<=50K
531-54-1768,24.0,HS-grad,Never-married,Unmarried,,>50K
126-99-6314,39.0,,Never-married,Not-in-family,,<=50K
902-24-2013,34.0,,Never-married,Not-in-family,,<=50K
363-45-2088,31.0,Assoc-acdm,Married-civ-spouse,Wife,Male,<=50K
507-12-5306,40.0,,Married-civ-spouse,,Male,<=50K
819-65-6018,33.0,HS-grad,Married-civ-spouse,Husband,,<=50K
531-17-3218,,,Married-civ-spouse,Husband,,>50K
681-29-6068,20.0,Some-college,,Own-child,Male,<=50K
556-38-8205,34.0,9th,,Not-in-family,Male,>50K
390-54-0540,51.0,11th,Married-civ-spouse,Husband,Male,
431-57-2481,32.0,9th,Married-civ-spouse,Husband,,>50K
600-61-4250,43.0,Some-college,,Not-in-family,Male,<=50K
557-80-0982,,Some-college,Married-civ-spouse,Husband,Male,
567-26-0441,19.0,,Never-married,,,>50K
320-20-8844,58.0,7th-8th,Divorced,,Male,
397-97-2972,53.0,,Married-civ-spouse,Husband,,>50K
704-14-6190,18.0,,Never-married,,,
443-02-8255,17.0,Some-college,Never-married,Other-relative,Male,<=50K
167-04-5454,39.0,HS-grad,Never-married,,,
598-37-2235,38.0,HS-grad,,Not-in-family,,<=50K
855-89-6805,35.0,Bachelors,,,Female,
744-28-7468,72.0,10th,Widowed,,Female,<=50K
614-12-7763,64.0,Bachelors,Married-civ-spouse,,Male,<=50K
820-57-7394,21.0,Some-college,,Own-child,Male,<=50K
658-50-7370,30.0,Bachelors,Married-civ-spouse,Husband,,<=50K
130-03-6854,22.0,Some-college,Never-married,Own-child,Male,<=50K
465-01-8427,21.0,HS-grad,Never-married,Own-child,,
538-78-9925,49.0,7th-8th,Married-civ-spouse,Husband,,
309-76-6584,18.0,,,,,>50K
157-89-3120,,Some-college,Married-civ-spouse,Husband,Male,
507-86-2407,42.0,Doctorate,Never-married,Not-in-family,,<=50K
140-50-9827,45.0,Bachelors,,,Male,
898-89-4347,24.0,Bachelors,Never-married,,Female,<=50K
569-34-8893,53.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
569-80-9581,60.0,10th,,Husband,,
864-21-9900,,,Married-civ-spouse,Husband,,
246-86-7321,31.0,Some-college,,,Male,
787-68-4274,50.0,,,Unmarried,Female,<=50K
814-34-2751,,Some-college,,Husband,Female,<=50K
603-62-4078,28.0,Bachelors,Married-civ-spouse,Husband,,<=50K
580-52-8254,21.0,10th,Separated,Not-in-family,,<=50K
148-06-5110,63.0,Some-college,,Husband,Female,<=50K
235-96-4373,32.0,Some-college,Never-married,Not-in-family,,<=50K
984-06-0195,61.0,,Married-spouse-absent,Not-in-family,,<=50K
063-66-7076,44.0,,Divorced,Not-in-family,,<=50K
145-94-5945,21.0,,Never-married,,,<=50K
548-28-0097,77.0,,,Other-relative,Female,<=50K
954-88-3291,43.0,Prof-school,Married-civ-spouse,Husband,,<=50K
547-75-7984,25.0,Assoc-acdm,Married-civ-spouse,Husband,,<=50K
462-22-3586,36.0,,Never-married,Other-relative,Female,<=50K
455-98-8943,49.0,,Divorced,,,
728-37-8377,,Some-college,Divorced,Unmarried,,<=50K
402-27-2726,29.0,HS-grad,Married-civ-spouse,Husband,Male,
077-02-7026,56.0,HS-grad,Married-civ-spouse,,Male,>50K
265-63-2677,31.0,Assoc-acdm,Married-civ-spouse,Husband,,
657-58-5994,30.0,HS-grad,Married-civ-spouse,,Male,>50K
008-07-7395,58.0,Assoc-voc,,,Male,
991-83-0465,44.0,Some-college,,Not-in-family,,
258-44-5945,,,Married-civ-spouse,,Male,
900-27-6411,47.0,11th,,Husband,Female,<=50K
485-04-2997,41.0,HS-grad,Divorced,Not-in-family,Male,<=50K
951-13-6362,46.0,,Never-married,Not-in-family,Male,>50K
237-77-6412,43.0,9th,Married-civ-spouse,Husband,Male,
293-51-9655,41.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
811-79-3610,35.0,Assoc-voc,Separated,Unmarried,,
143-48-8943,33.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
267-29-1154,46.0,HS-grad,,Unmarried,Male,<=50K
689-31-2038,24.0,Some-college,Never-married,Own-child,Female,<=50K
331-78-7468,57.0,,,Husband,,
106-84-8894,,HS-grad,Never-married,Own-child,,
151-10-5650,24.0,,,Not-in-family,,<=50K
088-88-2063,38.0,HS-grad,Married-civ-spouse,Husband,Male,
892-10-6878,42.0,Bachelors,Married-civ-spouse,,,<=50K
428-31-6952,37.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
379-48-4029,48.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
971-68-3045,42.0,Some-college,Divorced,,Female,<=50K
234-82-8009,30.0,Some-college,Never-married,Not-in-family,,<=50K
236-02-5798,34.0,Bachelors,Divorced,,,<=50K
534-39-8033,58.0,Assoc-acdm,,,Male,<=50K
962-83-7836,39.0,Assoc-voc,Divorced,Not-in-family,,
949-38-5748,30.0,Bachelors,Married-civ-spouse,Husband,,<=50K
344-96-3144,47.0,,Married-civ-spouse,Husband,,
319-07-2481,44.0,Assoc-voc,Married-civ-spouse,Husband,,>50K
024-60-0737,29.0,HS-grad,,Not-in-family,Female,<=50K
723-74-0785,27.0,,Never-married,,Male,<=50K
289-09-7051,53.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
404-42-2604,18.0,,Never-married,Other-relative,Male,<=50K
615-26-4127,28.0,Prof-school,,,,<=50K
760-22-7271,56.0,7th-8th,Widowed,Not-in-family,Female,
440-44-8402,45.0,,Divorced,Not-in-family,,<=50K
455-80-4667,21.0,Some-college,Never-married,Own-child,Male,<=50K
228-74-6928,24.0,,Never-married,Not-in-family,Female,<=50K
794-41-0318,,HS-grad,,Not-in-family,Male,<=50K
611-30-2210,27.0,HS-grad,Never-married,Other-relative,,<=50K
092-99-7542,41.0,HS-grad,Married-civ-spouse,Husband,Male,
772-60-4421,19.0,10th,,Own-child,,
753-00-9827,55.0,HS-grad,,Husband,,
623-55-6510,30.0,11th,Never-married,Own-child,,<=50K
532-61-6707,33.0,,Married-civ-spouse,Husband,,<=50K
474-60-0736,36.0,,,Husband,Male,<=50K
904-48-4028,37.0,Bachelors,Married-civ-spouse,Wife,Male,<=50K
554-20-7616,47.0,,Divorced,Other-relative,,<=50K
396-03-8083,23.0,,Married-civ-spouse,,Female,<=50K
938-45-2087,42.0,,,Not-in-family,Male,<=50K
116-55-4053,47.0,,Married-civ-spouse,,,
496-16-0933,,Some-college,Divorced,Unmarried,Female,<=50K
901-56-6338,29.0,Assoc-voc,Never-married,Not-in-family,,
776-96-5601,18.0,HS-grad,,Own-child,,
207-49-3857,23.0,12th,,Not-in-family,Male,<=50K
326-38-2063,29.0,10th,Never-married,Not-in-family,,
479-05-4053,46.0,Prof-school,,,Male,<=50K
934-21-3758,19.0,Some-college,,,,
879-76-0441,30.0,11th,Never-married,Unmarried,,
006-84-8894,,,Never-married,Not-in-family,Female,<=50K
079-11-5479,18.0,7th-8th,Never-married,,Female,>50K
296-80-5896,39.0,Masters,,Husband,,
037-37-7149,42.0,5th-6th,Divorced,,,<=50K
054-66-8304,65.0,7th-8th,Widowed,Not-in-family,,
744-93-2431,39.0,,Married-civ-spouse,Wife,Male,<=50K
454-14-6191,40.0,,Never-married,,Male,
720-23-9557,56.0,9th,Widowed,Unmarried,Female,
244-99-3857,27.0,Assoc-acdm,Never-married,Not-in-family,Male,<=50K
017-26-0442,48.0,HS-grad,Married-civ-spouse,Husband,Male,
600-85-9950,,Bachelors,Married-civ-spouse,Husband,Female,<=50K
697-78-8697,44.0,,Divorced,Unmarried,,<=50K
517-29-1154,19.0,12th,Never-married,Own-child,Male,<=50K
281-11-1793,33.0,,,Own-child,,<=50K
110-25-7985,42.0,,,Husband,,
312-62-2849,45.0,11th,Married-civ-spouse,Husband,,>50K
518-82-6780,,Assoc-voc,Never-married,Not-in-family,Female,
056-26-5356,,HS-grad,Married-civ-spouse,Husband,Male,
487-56-1424,56.0,,Never-married,Not-in-family,,
564-00-4913,39.0,,Married-civ-spouse,Husband,Male,
337-00-8599,29.0,Bachelors,Separated,Not-in-family,,
466-06-2653,45.0,,Married-civ-spouse,Husband,Female,<=50K
058-87-5921,25.0,Bachelors,,Not-in-family,,
470-91-5232,27.0,,Never-married,,Female,
542-29-1154,39.0,,Divorced,Unmarried,Female,<=50K
290-90-9090,33.0,HS-grad,Divorced,Unmarried,Female,<=50K
818-45-8230,26.0,HS-grad,,Wife,,>50K
829-85-2579,32.0,HS-grad,Married-civ-spouse,Wife,Male,<=50K
474-69-2874,46.0,,Married-civ-spouse,Husband,,<=50K
599-26-2898,54.0,Masters,Married-civ-spouse,Husband,Male,<=50K
438-20-6387,55.0,Some-college,,Husband,Female,<=50K
688-08-3537,34.0,Bachelors,Never-married,Not-in-family,,
099-38-5749,24.0,Some-college,Never-married,Own-child,Male,
882-27-8868,,Some-college,Never-married,Own-child,,<=50K
146-40-6633,33.0,,Married-civ-spouse,,Male,<=50K
710-71-8672,,11th,Never-married,,Female,<=50K
263-32-9238,29.0,Assoc-acdm,Married-civ-spouse,Husband,,>50K
587-89-9262,38.0,HS-grad,Married-civ-spouse,Husband,Female,<=50K
199-96-9287,34.0,,Never-married,Not-in-family,,
524-04-7911,,9th,Married-civ-spouse,Husband,Male,
367-56-7567,42.0,Some-college,,Not-in-family,,<=50K
140-69-4103,28.0,,Married-civ-spouse,Husband,,
464-86-4864,50.0,Masters,Never-married,Own-child,,<=50K
151-75-0614,39.0,Doctorate,,,,
821-34-5208,37.0,Doctorate,Married-civ-spouse,Husband,Male,<=50K
719-71-7443,45.0,,,Husband,Male,
194-80-9582,34.0,Some-college,,Unmarried,Male,
182-30-9582,36.0,Some-college,,,,>50K
899-38-5748,,Masters,,Not-in-family,,
412-59-2137,43.0,Some-college,Married-civ-spouse,Wife,Female,<=50K
957-61-6706,42.0,Assoc-voc,Never-married,Own-child,,
096-77-5184,25.0,Bachelors,Never-married,Not-in-family,Female,<=50K
261-82-4324,32.0,9th,Never-married,Not-in-family,,
674-96-9286,25.0,,,Not-in-family,Male,<=50K
323-03-4397,63.0,Bachelors,Married-civ-spouse,Wife,Female,
674-60-0736,56.0,5th-6th,Married-civ-spouse,,Male,
492-01-4741,20.0,Some-college,,Other-relative,Female,
675-46-0687,,HS-grad,,Not-in-family,,>50K
187-92-9975,43.0,,Married-civ-spouse,Husband,Male,<=50K
115-78-6240,23.0,Bachelors,Never-married,Own-child,,
164-86-4864,29.0,Bachelors,Separated,,Female,<=50K
723-43-3660,42.0,,Married-civ-spouse,Wife,,<=50K
524-72-3586,55.0,Some-college,Married-civ-spouse,Husband,,<=50K
114-74-2014,20.0,HS-grad,Never-married,Own-child,,
440-01-8427,32.0,Doctorate,Married-spouse-absent,Not-in-family,Male,<=50K
831-81-8180,21.0,,Separated,Own-child,Female,
741-12-4077,52.0,12th,Divorced,Unmarried,Female,
869-01-1055,37.0,HS-grad,Married-civ-spouse,,Male,>50K
881-57-2480,42.0,Masters,Married-civ-spouse,,Male,<=50K
636-82-4323,22.0,,Never-married,Own-child,,
778-22-4814,54.0,Prof-school,Widowed,Not-in-family,Male,
129-82-1867,22.0,HS-grad,Divorced,Own-child,,
516-58-4766,,,Married-civ-spouse,Husband,,<=50K
656-54-1768,,HS-grad,Never-married,Own-child,Male,
571-83-6608,55.0,Some-college,Separated,,Female,<=50K
487-92-9974,27.0,Bachelors,Never-married,Not-in-family,Male,<=50K
